BuildingID,bh,LandNum,Cluster,Area,Fnum,Height,Fheight,Age,Age_Data,landUseTyp,archetype_id
1325168895,93,2,14,374.7594,18,54,3,2015,2015,Residential_3,2_14
1325088959,94,3,1,111.4001,3,9,3,2005,2010,Commercial,3_1
1325069253,95,1,10,627.2084,6,18,3,2000,2000,Residential_2,1_10
1325085185,96,3,12,166.7086,3,9,3,2005,2010,Commercial,3_12
1325212826,97,4,6,9594.4018,118,590,5,2000,2000,Office,4_6
1325212735,98,4,4,1302.2468,55,220,4,2000,2000,Office,4_4
1325211453,99,4,9,10011.5485,0,6,0,2000,2000,Office,4_9
1325076837,100,0,4,124.31,3,9,3,1990,1993,Residential_1,0_4
1325144325,101,3,13,418.9006,6,18,3,2010,2010,Commercial,3_13
1325045535,102,0,10,319.152,3,9,3,1990,1993,Residential_1,0_10
1325075188,103,5,8,336.8853,2,6,3,2000,2000,Industry,5_8
1325131131,104,3,5,300.5863,4,12,3,2012,2015,Commercial,3_5
1325047448,105,3,8,142.2728,3,9,3,2010,2010,Commercial,3_8
1324924971,106,7,9,4909.5458,3,9,3,2008,2010,Administration,7_9
1325754782,107,5,3,4594.2878,3,9,3,2000,2000,Industry,5_3
1325138491,108,0,9,270.4129,3,9,3,1995,2000,Residential_1,0_9
1325203380,109,2,1,404.5408,16,48,3,2010,2010,Residential_3,2_1
1325129267,110,1,6,311.5186,6,18,3,2010,2010,Residential_2,1_6
1325093923,111,0,7,137.1406,3,9,3,2000,2000,Residential_1,0_7
1325140039,112,1,7,390.8631,5,15,3,2000,2000,Residential_2,1_7
1324922331,113,5,9,864.7546,3,9,3,2012,2015,Industry,5_9
